query	target	evalue	prob	TP/FP(SF)
d1tq8a_/c.26.2	d1iy8a_/c.2.1	0.0443	0.900	FP
d1tuwa_/d.58.4	d2gffa_/d.58.4	0.00305	0.999	TP
d1tuwa_/d.58.4	d1tuva_/d.58.4	0.00236	0.999	TP
d1tuwa_/d.58.4	d2zdpa_/d.58.4	0.0144	0.900	TP
d1u2wa1/a.4.5	d1q1ha_/a.4.5	0.01	0.999	TP
d1u2wa1/a.4.5	d1z7ua1/a.4.5	0.00878	0.999	TP
d1u2wa1/a.4.5	d1p6ra_/a.4.5	0.113	0.949	TP
d1u2wa1/a.4.5	d2a61a1/a.4.5	0.0926	0.900	TP
d1u58a2/d.19.1	d1t7va2/d.19.1	0.00142	0.999	TP
d1u58a2/d.19.1	d1jfma_/d.19.1	0.0453	0.900	TP
d1u5ta2/a.4.5	d2dk8a1/a.4.5	0.137	0.900	TP
d1u5ta2/a.4.5	d2f2ea1/a.4.5	0.0558	0.900	TP
d3cnxa1/d.17.4	d1vqqa1/d.17.4	0.00227	0.999	TP
d3cvba_/b.6.1	d2j5wa4/b.6.1	0.000149	0.999	TP
d3cvba_/b.6.1	d2vsmb_/b.6.1	0.00422	0.900	TP
d3d2wa_/d.58.7	d1no8a_/d.58.7	0.00176	0.999	TP
d3d2wa_/d.58.7	d2cqha1/d.58.7	0.00481	0.999	TP
d3d2wa_/d.58.7	d1sjra_/d.58.7	0.00281	0.999	TP
d3d85d3/b.1.2	d2gysa4/b.1.2	0.0109	0.999	TP
d3d85d3/b.1.2	d1x5ja1/b.1.2	0.00928	0.999	TP
d3d85d3/b.1.2	d1y6kr2/b.1.2	0.00599	0.999	TP
d3d85d3/b.1.2	d1x5ga1/b.1.2	0.00568	0.999	TP
d3d85d3/b.1.2	d1fnha1/b.1.2	0.0292	0.949	TP
d3d85d3/b.1.2	d1wisa1/b.1.2	0.0262	0.949	TP
d3d85d3/b.1.2	d1fnfa2/b.1.2	0.0429	0.900	TP
d3doua_/c.66.1	d1zema1/c.2.1	0.00143	0.999	FP
d3doua_/c.66.1	d2bm8a1/c.66.1	0.000332	0.999	TP
d3doua_/c.66.1	d3ai2a_/c.2.1	0.000428	0.999	FP
d3doua_/c.66.1	d1inla_/c.66.1	0.000155	0.999	TP
d3doua_/c.66.1	d1uira_/c.66.1	0.000552	0.999	TP
d3doua_/c.66.1	d2avda1/c.66.1	0.000146	0.999	TP
d3doua_/c.66.1	d2fwmx_/c.2.1	0.000668	0.999	FP
d3doua_/c.66.1	d2bkaa1/c.2.1	0.000456	0.999	FP
d3doua_/c.66.1	d3pxxa_/c.2.1	0.0027	0.999	FP
d3doua_/c.66.1	d1fjha_/c.2.1	0.017	0.949	FP
d3doua_/c.66.1	d1xtpa_/c.66.1	0.00253	0.949	TP
d3doua_/c.66.1	d1h5qa_/c.2.1	0.0141	0.949	FP
d3doua_/c.66.1	d2fyta1/c.66.1	0.0102	0.949	TP
d3doua_/c.66.1	d1yo6a1/c.2.1	0.0265	0.900	FP
d3doua_/c.66.1	d1snya_/c.2.1	0.0116	0.900	FP
d3doua_/c.66.1	d2blla1/c.2.1	0.0321	0.900	FP
d3doua_/c.66.1	d1orra_/c.2.1	0.0116	0.900	FP
d3doua_/c.66.1	d2efja_/c.66.1	0.00306	0.900	TP
d3ec9a1/d.17.4	d2gxfa1/d.17.4	0.000506	0.999	TP
d3ec9a1/d.17.4	d1m98a2/d.17.4	0.0251	0.949	TP
d3ejva1/d.17.4	d3dm8a1/d.17.4	0.000291	0.999	TP
d3ejva1/d.17.4	d3dmca1/d.17.4	0.000894	0.999	TP
d3ejva1/d.17.4	d2geya1/d.17.4	0.000949	0.999	TP
d3ejva1/d.17.4	d3grda_/d.17.4	0.0135	0.900	TP
d3fbka_/b.7.1	d1n26a2/b.1.2	0.0239	0.949	FP
d3fbka_/b.7.1	d2rb8a_/b.1.2	0.0343	0.900	FP
d2d0oa3/c.55.1	d1huxa_/c.55.1	0.000459	0.999	TP
d2d0oa3/c.55.1	d1zc6a2/c.55.1	0.00266	0.949	TP
d2d0oa3/c.55.1	d3bexa2/c.55.1	0.00531	0.900	TP
d2d8ya1/g.39.1	d1b8ta1/g.39.1	0.109	0.900	TP
d2dida1/g.43.1	d2djaa1/g.43.1	0.0184	0.999	TP
d2dida1/g.43.1	d3ddta_/g.43.1	0.0364	0.999	TP
d2dita1/d.58.7	d2b0ga1/d.58.7	0.00168	0.999	TP
d2dita1/d.58.7	d1no8a_/d.58.7	0.00121	0.999	TP
d2dita1/d.58.7	d2adca1/d.58.7	0.00731	0.999	TP
d2dita1/d.58.7	d1x4da1/d.58.7	0.00599	0.999	TP
d2dita1/d.58.7	d1wexa_/d.58.7	0.00138	0.999	TP
d2dita1/d.58.7	d1x4ga1/d.58.7	0.00599	0.999	TP
d2dita1/d.58.7	d1sjra_/d.58.7	0.00328	0.999	TP
d2dita1/d.58.7	d2hzca_/d.58.7	0.00782	0.949	TP
d2dpma_/c.66.1	d1ej0a_/c.66.1	0.0127	0.900	TP
d2dpma_/c.66.1	d3kqsa_/c.66.1	0.00573	0.900	TP
d2dpma_/c.66.1	d1dcta_/c.66.1	0.00507	0.900	TP
d1f7ua2/c.26.1	d1ffya3/c.26.1	0.000177	0.999	TP
d1f7ua2/c.26.1	d1j09a2/c.26.1	0.000416	0.999	TP
d1f7ua2/c.26.1	d1qtqa2/c.26.1	0.0168	0.900	TP
d1fhoa_/b.55.1	d1faoa_/b.55.1	0.00985	0.999	TP
d1fhoa_/b.55.1	d1v89a_/b.55.1	0.00439	0.999	TP
d1fhoa_/b.55.1	d2fjla1/b.55.1	0.00933	0.999	TP
d1fhoa_/b.55.1	d1qqga1/b.55.1	0.0306	0.949	TP
d1fhoa_/b.55.1	d2zkmx3/b.55.1	0.036	0.949	TP
d1fhoa_/b.55.1	d1foea2/b.55.1	0.021	0.949	TP
d1fhoa_/b.55.1	d1maia_/b.55.1	0.0726	0.900	TP
d3d85d1/b.1.1	d2yxma_/b.1.1	0.00161	0.999	TP
d3d85d1/b.1.1	d1biha4/b.1.1	0.0018	0.999	TP
d3d85d1/b.1.1	d1olza1/b.1.1	0.00363	0.999	TP
d3d85d1/b.1.1	d1koaa1/b.1.1	0.00485	0.949	TP
d3d85d1/b.1.1	d1f97a1/b.1.1	0.0312	0.949	TP
d3d85d1/b.1.1	d1hkfa_/b.1.1	0.022	0.949	TP
d3d85d1/b.1.1	d1hnfa1/b.1.1	0.0155	0.900	TP
d3d85d1/b.1.1	d1smoa_/b.1.1	0.0138	0.900	TP
d3dhwc1/c.37.1	d1cr1a_/c.37.1	0.000137	0.999	TP
d3echa_/a.4.5	d1bjaa_/a.4.5	0.0106	0.999	TP
d3echa_/a.4.5	d1zara1/a.4.5	0.28	0.900	TP
d3eg7a_/d.108.1	d2aj6a1/d.108.1	0.00275	0.999	TP
d3eg7a_/d.108.1	d1iyka1/d.108.1	0.019	0.949	TP
d3ezla_/c.2.1	d1t2da1/c.2.1	0.00549	0.949	TP
d3grsa1/c.3.1	d1lqta2/c.4.1	0.00154	0.999	FP
d3grsa1/c.3.1	d1ve9a1/c.4.1	0.00474	0.900	FP
d3kjta_/c.94.1	d2ozza1/c.94.1	0.00235	0.949	TP
d3kjta_/c.94.1	d2a5sa1/c.94.1	0.000815	0.900	TP
d3l9va_/c.47.1	d1yzxa_/c.47.1	0.00671	0.999	TP
d1ej0a_/c.66.1	d3tqsa_/c.66.1	0.000163	0.999	TP
d1ej0a_/c.66.1	d1xxla_/c.66.1	0.000643	0.999	TP
d1ej0a_/c.66.1	d3vc7a_/c.2.1	0.00417	0.999	FP
d1ej0a_/c.66.1	d1yzha1/c.66.1	0.000345	0.999	TP
d1ej0a_/c.66.1	d1qama_/c.66.1	0.000567	0.999	TP
d1ej0a_/c.66.1	d1ooea_/c.2.1	0.00136	0.999	FP
d1ej0a_/c.66.1	d1kola2/c.2.1	0.0145	0.949	FP
d1ej0a_/c.66.1	d1ydea1/c.2.1	0.00998	0.949	FP
d1ej0a_/c.66.1	d1g55a_/c.66.1	0.00686	0.949	TP
d1eu8a_/c.94.1	d3r6ua_/c.94.1	2.65e-05	0.999	TP
d1eu8a_/c.94.1	d1ixha_/c.94.1	0.00223	0.949	TP
d1eu8a_/c.94.1	d2ozza1/c.94.1	0.00236	0.900	TP
d1eu8a_/c.94.1	d1pb7a_/c.94.1	0.00579	0.900	TP
d1f0ka_/c.87.1	d1u1ia1/c.2.1	0.0169	0.900	FP
d1fexa_/a.4.1	d1igna1/a.4.1	0.0412	0.900	TP
d1fgya_/b.55.1	d1maia_/b.55.1	0.00264	0.999	TP
d1fgya_/b.55.1	d1v61a_/b.55.1	0.00458	0.999	TP
d1fgya_/b.55.1	d2v76a_/b.55.1	0.101	0.900	TP
d3dfea_/d.58.5	d2od4a1/d.58.4	0.000399	0.999	FP
d3dfea_/d.58.5	d1nh8a2/d.58.5	0.00366	0.999	TP
d3dfea_/d.58.5	d3lqva_/d.58.7	0.0187	0.949	FP
d3dfea_/d.58.5	d1j27a_/d.58.50	0.0358	0.900	FP
d3dfea_/d.58.5	d1rkia1/d.308.1	0.0358	0.900	FP
d3dfea_/d.58.5	d1rjja_/d.58.4	0.0164	0.900	FP
d3dfea_/d.58.5	d2iiia_/d.156.1	0.0135	0.900	FP
d3duka_/d.17.4	d3ebta1/d.17.4	0.001	0.999	TP
d3duka_/d.17.4	d3ebya1/d.17.4	0.00106	0.999	TP
d3duka_/d.17.4	d1z1sa1/d.17.4	0.000198	0.999	TP
d3duka_/d.17.4	d2a15a1/d.17.4	0.00136	0.999	TP
d3e96a_/c.1.10	d1nsja_/c.1.2	0.00138	0.999	FP
d3e96a_/c.1.10	d1r3sa_/c.1.22	0.00282	0.999	FP
d3e96a_/c.1.10	d1v93a_/c.1.23	8.89e-05	0.999	FP
d3e96a_/c.1.10	d1wdda1/c.1.14	0.000413	0.999	FP
d3e96a_/c.1.10	d2f6ua1/c.1.4	0.000297	0.999	FP
d3e96a_/c.1.10	d1ur4a_/c.1.8	0.000314	0.999	FP
d3e96a_/c.1.10	d1yx1a1/c.1.15	0.00298	0.949	FP
d3e96a_/c.1.10	d1lqaa_/c.1.7	0.00332	0.949	FP
d3e96a_/c.1.10	d1tj1a2/c.1.23	0.00203	0.949	FP
d3e96a_/c.1.10	d1dosa_/c.1.10	0.00371	0.949	TP
d3e96a_/c.1.10	d3n9ka_/c.1.8	0.0192	0.949	FP
d3e96a_/c.1.10	d2wzma_/c.1.7	0.00942	0.900	FP
d3e96a_/c.1.10	d1cnva_/c.1.8	0.00414	0.900	FP
d3e96a_/c.1.10	d2cksa_/c.1.8	0.0315	0.900	FP
d3e96a_/c.1.10	d1gkra2/c.1.9	0.0146	0.900	FP
d3e96a_/c.1.10	d1ua7a2/c.1.8	0.0117	0.900	FP
d3e96a_/c.1.10	d1muwa_/c.1.15	0.00154	0.900	FP
d3f1pa_/d.110.3	d2veaa3/d.110.3	0.00877	0.999	TP
d3f1pa_/d.110.3	d2hjea_/d.110.6	0.0401	0.949	FP
d3f1pa_/d.110.3	d2p7ja2/d.110.6	0.0883	0.900	FP
d3gada_/d.80.1	d2x4ka_/d.80.1	0.00651	0.999	TP
d3gada_/d.80.1	d3abfa_/d.80.1	0.00533	0.999	TP
d3gada_/d.80.1	d3ej9b_/d.80.1	0.00533	0.999	TP
d3grda_/d.17.4	d1gy7a_/d.17.4	0.0043	0.999	TP
d3h8ka_/d.20.1	d2z6oa_/d.20.1	0.00116	0.999	TP
d1gu7a2/c.2.1	d2v03a_/c.79.1	2.07e-05	0.999	FP
d1gu7a2/c.2.1	d1gega_/c.2.1	0.00196	0.999	TP
d1gu7a2/c.2.1	d1gpja2/c.2.1	0.00593	0.949	TP
d1gu7a2/c.2.1	d1i24a_/c.2.1	0.0241	0.949	TP
d1gu7a2/c.2.1	d1nyta1/c.2.1	0.0214	0.900	TP
d1gu7a2/c.2.1	d1h9aa1/c.2.1	0.0431	0.900	TP
d1gu7a2/c.2.1	d3vc7a_/c.2.1	0.0304	0.900	TP
d1gu7a2/c.2.1	d2d1ya1/c.2.1	0.0287	0.900	TP
d1gu7a2/c.2.1	d1cyda_/c.2.1	0.0134	0.900	TP
d1gu7a2/c.2.1	d1iy8a_/c.2.1	0.0485	0.900	TP
d1gu7a2/c.2.1	d1w6ua_/c.2.1	0.0056	0.900	TP
d1h3ga1/b.1.18	d1i1ra1/b.1.2	0.00323	0.999	FP
d1h3ga1/b.1.18	d1cwva3/b.1.14	0.00728	0.999	FP
d1h3ga1/b.1.18	d1u2ha_/b.1.1	0.00221	0.999	FP
d1h3ga1/b.1.18	d1uvqb1/b.1.1	0.0298	0.949	FP
d1h3ga1/b.1.18	d1cs6a3/b.1.1	0.0193	0.949	FP
d1h3ga1/b.1.18	d2yxma_/b.1.1	0.0193	0.949	FP
d1h3ga1/b.1.18	d1dn0b2/b.1.1	0.0314	0.949	FP
d1h3ga1/b.1.18	d1k3ia1/b.1.18	0.054	0.949	TP
d1h3ga1/b.1.18	d1rzfl2/b.1.1	0.0147	0.949	FP
d1h3ga1/b.1.18	d3rnqa_/b.1.1	0.0132	0.949	FP
d1h3ga1/b.1.18	d2hp4a_/b.1.1	0.057	0.949	FP
d1h3ga1/b.1.18	d1pd0a2/b.2.8	0.0485	0.949	FP
d1h3ga1/b.1.18	d1biha4/b.1.1	0.035	0.900	FP
d1h3ga1/b.1.18	d2oz4a2/b.1.1	0.129	0.900	FP
d1h6da2/d.81.1	d1lc0a2/d.81.1	0.00373	0.949	TP
d1huxa_/c.55.1	d1okja1/c.55.1	0.112	0.900	TP
d1huxa_/c.55.1	d1zbsa2/c.55.1	0.0246	0.900	TP
d1huxa_/c.55.1	d2ch5a1/c.55.1	0.0016	0.900	TP
d1i7na1/c.30.1	d1gsha1/c.30.1	0.00547	0.949	TP
d1eucb1/c.23.4	d3cg4a_/c.23.1	0.0333	0.900	FP
d1f0ya2/c.2.1	d1mx3a1/c.2.1	0.000827	0.999	TP
d1f0ya2/c.2.1	d1vi2a1/c.2.1	0.00218	0.999	TP
d1f0ya2/c.2.1	d1nvta1/c.2.1	0.00218	0.999	TP
d1f0ya2/c.2.1	d1pjqa1/c.2.1	0.0263	0.949	TP
d1f0ya2/c.2.1	d1tlta1/c.2.1	0.00996	0.900	TP
d1f0ya2/c.2.1	d3e05a_/c.66.1	0.0152	0.900	FP
d1f0ya2/c.2.1	d1hdoa_/c.2.1	0.012	0.900	TP
d1f0ya2/c.2.1	d3vc7a_/c.2.1	0.00152	0.900	TP
d1f0ya2/c.2.1	d2bi7a1/c.4.1	0.0513	0.900	FP
d1f0ya2/c.2.1	d1nw3a_/c.66.1	0.0162	0.900	FP
d1f0ya2/c.2.1	d1rkxa_/c.2.1	0.0143	0.900	TP
d1g2sa_/d.9.1	d3gv3a_/d.9.1	0.0248	0.949	TP
d1g5aa1/b.71.1	d1uoka1/b.71.1	0.0117	0.999	TP
d1g5aa1/b.71.1	d1ua7a1/b.71.1	0.0282	0.999	TP
d1g5aa1/b.71.1	d2guya1/b.71.1	0.24	0.900	TP
d1ltoa_/b.47.1	d2hala_/b.47.1	0.000713	0.999	TP
d1lwha1/b.71.1	d1wzaa1/b.71.1	0.0721	0.999	TP
d1lwha1/b.71.1	d2guya1/b.71.1	0.293	0.949	TP
d1m2ka_/c.31.1	d1d4oa_/c.31.1	0.000444	0.999	TP
d1m2ka_/c.31.1	d2ji7a1/c.31.1	0.0075	0.900	TP
d1m7ga_/c.37.1	d2grja_/c.37.1	0.000129	0.999	TP
d1m7ga_/c.37.1	d1ly1a_/c.37.1	0.000353	0.999	TP
d1m7ga_/c.37.1	d1gsia_/c.37.1	0.00436	0.900	TP
d1m7ga_/c.37.1	d1ckea_/c.37.1	0.0015	0.900	TP
d1g8fa3/c.37.1	d1nn5a_/c.37.1	0.021	0.900	TP
d1gena_/b.66.1	d1ijqa1/b.68.5	0.000633	0.999	FP
d1gena_/b.66.1	d1zgka1/b.68.11	0.000281	0.999	FP
d1gena_/b.66.1	d1gxra_/b.69.4	0.000538	0.999	FP
d1gena_/b.66.1	d2bbkh_/b.69.2	0.00807	0.949	FP
d1gena_/b.66.1	d2ghsa1/b.68.6	0.0172	0.900	FP
d1gena_/b.66.1	d1pjxa_/b.68.6	0.0118	0.900	FP
d1gena_/b.66.1	d1y7ba2/b.67.2	0.00852	0.900	FP
d1gena_/b.66.1	d1xksa_/b.69.14	0.00496	0.900	FP
d1gkub1/c.37.1	d1w36d1/c.37.1	0.00244	0.900	TP
d1gqia1/c.1.8	d1djqa1/c.1.4	0.000162	0.999	FP
d1gqia1/c.1.8	d2tpsa_/c.1.3	0.00512	0.949	FP
d1gqia1/c.1.8	d1m3ua_/c.1.12	0.00485	0.949	FP
d1gqia1/c.1.8	d1vjza_/c.1.8	0.00332	0.949	TP
d1gqia1/c.1.8	d1wcga1/c.1.8	0.00671	0.949	TP
d1gqia1/c.1.8	d1nofa2/c.1.8	0.0103	0.900	TP
d1gqia1/c.1.8	d1vp5a_/c.1.7	0.00107	0.900	FP
d1gqia1/c.1.8	d1f74a_/c.1.10	0.00789	0.900	FP
d1gqia1/c.1.8	d1pyfa_/c.1.7	0.0209	0.900	FP
d1gz0a1/c.116.1	d1vh0a_/c.116.1	0.00504	0.900	TP
d3pgxa_/c.2.1	d3doua_/c.66.1	0.0239	0.949	FP
d3pgxa_/c.2.1	d1h9aa1/c.2.1	0.00232	0.949	TP
d3pgxa_/c.2.1	d1g8aa_/c.66.1	0.0176	0.949	FP
d3pgxa_/c.2.1	d2dm6a2/c.2.1	0.00842	0.900	TP
d3pgxa_/c.2.1	d1luaa1/c.2.1	0.00659	0.900	TP
d3pgxa_/c.2.1	d2gcia_/c.123.1	0.00403	0.900	FP
d3r26a_/c.94.1	d2qmwa1/c.94.1	0.00329	0.949	TP
d3u81a_/c.66.1	d1yzha1/c.66.1	3.61e-05	0.999	TP
d3u81a_/c.66.1	d3d2la_/c.66.1	1.94e-05	0.999	TP
d3u81a_/c.66.1	d2oyra1/c.66.1	1.94e-05	0.999	TP
d3u81a_/c.66.1	d2uyoa_/c.66.1	0.000265	0.999	TP
d3u81a_/c.66.1	d1o9ga_/c.66.1	0.000143	0.999	TP
d3u81a_/c.66.1	d1y8ca_/c.66.1	1.58e-05	0.999	TP
d3u81a_/c.66.1	d1ri5a_/c.66.1	2.94e-05	0.999	TP
d3u81a_/c.66.1	d1vlma_/c.66.1	5.45e-05	0.999	TP
d3u81a_/c.66.1	d1p91a_/c.66.1	3.61e-05	0.999	TP
d3u81a_/c.66.1	d1pjca1/c.2.1	0.00946	0.949	FP
d7reqa2/c.23.6	d1kgsa2/c.23.1	0.00177	0.999	FP
d7reqa2/c.23.6	d1mb3a_/c.23.1	0.00504	0.999	FP
d7reqa2/c.23.6	d3ktoa_/c.23.1	0.00213	0.999	FP
d7reqa2/c.23.6	d1e5da1/c.23.5	0.00102	0.999	FP
d7reqa2/c.23.6	d1wbha1/c.1.10	0.0384	0.949	FP
d7reqa2/c.23.6	d3nz1a_/c.1.2	0.00825	0.900	FP
d7reqa2/c.23.6	d1b5ta_/c.1.23	0.00213	0.900	FP
d7reqa2/c.23.6	d1eg5a_/c.67.1	0.00536	0.900	FP
d1a04a2/c.23.1	d2ayxa2/c.23.1	0.0129	0.949	TP
d1a04a2/c.23.1	d2csua2/c.23.4	0.00779	0.949	FP
d1a04a2/c.23.1	d1tb3a1/c.1.4	0.003	0.949	FP
d1a04a2/c.23.1	d1wb1a4/c.37.1	0.0107	0.900	FP
d1a04a2/c.23.1	d1mkya2/c.37.1	0.0107	0.900	FP
d1gkza2/d.122.1	d2hkja3/d.122.1	0.0032	0.949	TP
d1gtea2/c.1.4	d2p10a1/c.1.12	0.000176	0.999	FP
d1gtea2/c.1.4	d1i4na_/c.1.2	0.000603	0.999	FP
d1gtea2/c.1.4	d1vcva1/c.1.10	0.00757	0.949	FP
d1gtea2/c.1.4	d1yx1a1/c.1.15	0.000288	0.949	FP
d1gtea2/c.1.4	d1w9pa1/c.1.8	0.00162	0.949	FP
d1gtea2/c.1.4	d2bogx_/c.6.1	0.00408	0.900	FP
d1gtea2/c.1.4	d1ezwa_/c.1.16	0.00856	0.900	FP
d1gtea2/c.1.4	d1uuqa_/c.1.8	0.00591	0.900	FP
d1h4ra1/a.11.2	d1hbka_/a.11.1	0.0284	0.999	FP
d1h6ga2/a.24.9	d1nzea_/a.24.18	0.28	0.949	FP
d1h72c1/d.14.1	d2dy1a3/d.14.1	0.0146	0.949	TP
d1he7a_/b.1.1	d1cs6a1/b.1.1	0.0129	0.999	TP
d1he7a_/b.1.1	d1wita_/b.1.1	0.0596	0.900	TP
d1he7a_/b.1.1	d1smoa_/b.1.1	0.0479	0.900	TP
d2nuga2/d.50.1	d1ekza_/d.50.1	0.0171	0.999	TP
d2nxfa1/d.159.1	d2yvta1/d.159.1	0.000303	0.999	TP
d2pgfa_/c.1.9	d1n7ka_/c.1.10	0.000844	0.999	FP
d2pgfa_/c.1.9	d2dx6a_/c.50.1	0.0942	0.949	FP
d2pgfa_/c.1.9	d1wa3a_/c.1.10	0.00386	0.949	FP
d2pgfa_/c.1.9	d1yeya1/c.1.11	0.0254	0.949	FP
d2pgfa_/c.1.9	d2gl5a1/c.1.11	0.0196	0.949	FP
d2pgfa_/c.1.9	d1ec7a1/c.1.11	0.0143	0.949	FP
d2pgfa_/c.1.9	d1vyra_/c.1.4	0.0176	0.949	FP
d2pgfa_/c.1.9	d1vlia2/c.1.10	0.00451	0.900	FP
d2pgfa_/c.1.9	d1nvma2/c.1.10	0.0104	0.900	FP
d2pgfa_/c.1.9	d2rfga_/c.1.10	0.00501	0.900	FP
d1lf6a1/a.102.1	d1wzza1/a.102.1	0.000119	0.999	TP
d1lf6a1/a.102.1	d1nc5a_/a.102.1	0.00994	0.949	TP
d1lf6a1/a.102.1	d1h12a_/a.102.1	0.0073	0.949	TP
d1m65a_/c.6.3	d2puza2/c.1.9	0.000329	0.999	FP
d1mjul1/b.1.1	d1iama2/b.1.1	0.00519	0.999	TP
d1mjul1/b.1.1	d1ncna_/b.1.1	0.00317	0.999	TP
d1mjul1/b.1.1	d2ifga1/b.1.1	0.00719	0.999	TP
d1mjul1/b.1.1	d2fcba1/b.1.1	0.0226	0.949	TP
d1mjul1/b.1.1	d1ugna1/b.1.1	0.0459	0.949	TP
d1mjul1/b.1.1	d3d85d1/b.1.1	0.039	0.900	TP
d2oz4a1/b.1.1	d2fcba1/b.1.1	0.00795	0.999	TP
d2pgda2/c.2.1	d1wdka3/c.2.1	0.000578	0.999	TP
d2pgda2/c.2.1	d1evya2/c.2.1	0.000202	0.999	TP
d2pgda2/c.2.1	d1leha1/c.2.1	0.0304	0.900	TP
d2q9oa1/b.6.1	d2bz7a_/b.6.1	0.000369	0.999	TP
d2q9oa1/b.6.1	d3fsaa_/b.6.1	0.0128	0.949	TP
d2q9oa1/b.6.1	d1x9ua_/b.6.1	0.00309	0.900	TP
d1wcv1_/c.37.1	d1ihua2/c.37.1	0.000458	0.999	TP
d1wgda_/d.15.1	d1we6a_/d.15.1	0.00446	0.999	TP
d1wgda_/d.15.1	d1t0ya_/d.15.1	0.0398	0.949	TP
d1wgda_/d.15.1	d1wxaa1/d.15.1	0.0172	0.949	TP
d1wgda_/d.15.1	d1wj4a_/d.15.1	0.0514	0.900	TP
d1wk1a_/d.169.1	d1v7pb_/d.169.1	0.00187	0.999	TP
d1wk1a_/d.169.1	d1jwib_/d.169.1	0.00156	0.999	TP
d1wzna1/c.66.1	d2plwa_/c.66.1	7.94e-05	0.999	TP
d1wzna1/c.66.1	d3evfa_/c.66.1	0.000443	0.999	TP
d1wzna1/c.66.1	d1pjza_/c.66.1	0.000122	0.999	TP
d1wzna1/c.66.1	d2nyua_/c.66.1	0.000871	0.999	TP
d1wzna1/c.66.1	d1dcta_/c.66.1	0.000602	0.999	TP
d1wzna1/c.66.1	d2f1ka2/c.2.1	0.00844	0.949	FP
d1wzna1/c.66.1	d1wy5a1/c.26.2	0.000984	0.949	FP
d1wzna1/c.66.1	d3vc7a_/c.2.1	0.00747	0.949	FP
d1wzna1/c.66.1	d2ag5a1/c.2.1	0.00584	0.949	FP
d1wzna1/c.66.1	d2c7pa_/c.66.1	0.00357	0.949	TP
d1wzna1/c.66.1	d1p3da1/c.5.1	0.0176	0.900	FP
d1wzna1/c.66.1	d1hyha1/c.2.1	0.0108	0.900	FP
d1wzna1/c.66.1	d2bm8a1/c.66.1	0.00486	0.900	TP
d1wzna1/c.66.1	d2cfca_/c.2.1	0.0187	0.900	FP
d1xwdb1/g.17.1	d1pdga_/g.17.1	0.113	0.949	TP
d1y71a1/b.34.16	d1whga_/b.34.10	0.0322	0.900	FP
d2ihta1/c.31.1	d1zpda1/c.31.1	0.000169	0.999	TP
d2ihta1/c.31.1	d1q1aa_/c.31.1	0.00323	0.949	TP
d2iw1a_/c.87.1	d3e9nd_/c.2.1	0.0136	0.949	FP
d2k57a1/b.38.1	d1zq1a1/b.38.3	0.0152	0.999	FP
d2k57a1/b.38.1	d2mysa1/b.34.3	0.0818	0.949	FP
d2naca2/c.23.12	d1qp8a2/c.23.12	0.000902	0.999	TP
d2naca2/c.23.12	d1l7da2/c.23.12	0.00494	0.900	TP
d2nt0a2/c.1.8	d2fiqa1/c.1.10	2.07e-05	0.999	FP
d2nt0a2/c.1.8	d1qtwa_/c.1.15	9.12e-05	0.999	FP
d2nt0a2/c.1.8	d1tvna1/c.1.8	0.000485	0.999	TP
d2nt0a2/c.1.8	d1bqca_/c.1.8	0.000295	0.999	TP
d2nt0a2/c.1.8	d1rqba2/c.1.10	0.000141	0.999	FP
d2nt0a2/c.1.8	d2bhua3/c.1.8	0.00123	0.949	TP
d2nt0a2/c.1.8	d1l6wa_/c.1.10	0.00944	0.900	FP
d2nt0a2/c.1.8	d1vpqa_/c.1.32	0.00157	0.900	FP
d2nt0a2/c.1.8	d1tx2a_/c.1.21	0.0013	0.900	FP
d2nt0a2/c.1.8	d1gvfa_/c.1.10	0.0155	0.900	FP
d2nt0a2/c.1.8	d2choa2/c.1.8	0.00737	0.900	TP
d2nt0a2/c.1.8	d1w9pa1/c.1.8	0.00228	0.900	TP
d2nt0a2/c.1.8	d1lqaa_/c.1.7	0.00575	0.900	FP
d2nt0a2/c.1.8	d1q45a_/c.1.4	0.00189	0.900	FP
d1g6xa_/g.8.1	d1tocr2/g.8.1	0.0109	0.999	TP
d1g7sa2/b.43.3	d2dy1a1/b.43.3	0.00156	0.999	TP
d1goia2/c.1.8	d1i4na_/c.1.2	0.00025	0.999	FP
d1goia2/c.1.8	d1h1na_/c.1.8	0.000185	0.999	TP
d1goia2/c.1.8	d1wdda1/c.1.14	0.00121	0.949	FP
d1goia2/c.1.8	d1kwga2/c.1.8	0.00145	0.949	TP
d1goia2/c.1.8	d3o6ca_/c.1.24	0.0055	0.900	FP
d1goia2/c.1.8	d1jaka1/c.1.8	0.00079	0.900	TP
d1h6da1/c.2.1	d1hdoa_/c.2.1	0.000164	0.999	TP
d1h6da1/c.2.1	d1yl7a1/c.2.1	0.0331	0.900	TP
d1h6da1/c.2.1	d1pl8a2/c.2.1	0.0143	0.900	TP
d1h6da1/c.2.1	d2a35a1/c.2.1	0.00541	0.900	TP
d1h6da1/c.2.1	d1qmga2/c.2.1	0.00366	0.900	TP
d1q1ra2/c.3.1	d1y0pa2/c.3.1	0.00407	0.999	TP
d1q1ra2/c.3.1	d1rp0a1/c.3.1	0.00337	0.999	TP
d1q1ra2/c.3.1	d3grsa1/c.3.1	0.0063	0.999	TP
d1q1ra2/c.3.1	d1ygya1/c.2.1	0.00862	0.949	FP
